PSA-Nr;Aufstellort;PLZ;Bezirk/Gebiet;Abschnitt von;Abschnitt bis;Stellplätze;Roter Punkt;Gebührenzeit;Gebühr je 20 Minuten;Höchstparkdauer;Tagesgebühr 4,00 €;GeoKoordinateNord;GeoKoordinateOst
592;Spichernstr. 4;;Belgisches Viertel;Kamekestraße;Venloer Straße;34;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9426157;6,9362618
593;Brüsseler Str. 89;;Belgisches Viertel;Bismarckstraße;Venloer Straße;14;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8930292;7,0604085
594;Moltkestr. 131;;Belgisches Viertel;Bismarckstraße;Brüsseler Platz;68;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9392397;6,9323112
595;Bismarckstr. 62;;Belgisches Viertel;Antwerpener Straße;Brüsseler Straße;13;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9407871;6,9337973
596;Antwerpener Str. 31;;Belgisches Viertel;Brüsseler Straße;Friesenplatz;29;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9400981;6,9355477
597;Antwerpener Str. 12;;Belgisches Viertel;Friesenplatz;Brüsseler Str.;21;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9400981;6,9355477
598;Brabanter Str. 41;;Belgisches Viertel;Antwerpener Straße;Maastrichter Straße;76;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9393144;6,9374701
599;Maastrichter Str. 26;;Belgisches Viertel;Brüsseler Straße;Brabanter Straße;52;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9384824;6,9365779
600;Brüsseler Str. 59;;Belgisches Viertel;Brüsseler Platz;Antwerpener Straße;46;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,8932;7,06329
601;Antwerpener Str. 46;;Belgisches Viertel;Bismarckstraße;Brüsseler Str.;32;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9402372;6,9340904
602;Aachener Str. 78;;Belgisches Viertel;Moltkestr.;DB-Unterführung;11;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9367084;6,9317957
603;Aachener Str. 110;;Belgisches Viertel;Schmalbeinstr.;Universitätsstr.;14;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9367084;6,9317957
604;Brüsseler Str. 53;;Belgisches Viertel;Brüsseler Platz;Lütticher Straße;16;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,89316;7,06377
605;Brüsseler Platz 5;;Belgisches Viertel;Brüsseler Straße;Neue Maastrichter Str.;31;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,940812;6,934948
606;Venloer Str. 15;;Belgisches Viertel;Bismarckstraße;Friesenplatz;12;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,940812;6,934948
607;Aachener Str. 40;;Belgisches Viertel;Brabanter Str.;Brüsseler Str.;10;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,940812;6,934948
608;Venloer Str. 63;;Belgisches Viertel;Hans-Böckler-Platz;Peter-Dedenbach-Str.;12;BELG;Mo-Sa 09:00 - 18:00;1,00 €;4;;50,940812;6,934948
609;Dürener Str. 54;;Lindenthal Süd I;Universitätsstr.;Herbert-Lewin-Str.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,940812;6,934948
610;Dürener Str. 87;;Lindenthal Süd I;Herbert-Lewin-Str.;Classen-Koppelmann-Str.;10;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,940812;6,934948
611;Dürener Str. 121;;Lindenthal Süd I;Classen-Kappelmann-Str.;Karl-Schwering-Platz;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9319174;6,9194854
612;Dürener Str. 171;;Lindenthal Süd II;Geibelstr.;Klosterstr.;13;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9319174;6,9194854
613;Dürener Str. 199;;Lindenthal Süd II;Klosterstr.;Theresienstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9319174;6,9194854
614;Dürener Str. 223;;Lindenthal Süd II;Theresienstr.;Hillerstr.;11;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9319174;6,9194854
615;Dürener Str. 243;;Lindenthal Süd II;Hillerstr.;Landgrafenstr.;6;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9287317;6,9108661
616;Dürener Str. 240;;Lindenthal Süd II;Lindenthalgürtel;Landgrafenstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9281779;6,9101087
617;Dürener Str. 224;50931;Lindenthal Süd II;Landgrafenstr.;Wittgensteinstr.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9287472;6,9115768
618;Dürener Str. 206;;Lindenthal Süd II;Wittgensteinstr.;Theresienstr.;9;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9291043;6,9127087
619;Dürener Str. 196;50931;Lindenthal Süd II;Theresienstr.;Schumannstr.;12;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9294665;6,913584
620;Dürener Str. 182;;Lindenthal Süd II;Schumannstr.;Lindenburger Allee;11;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9298331;6,9145076
621;Dürener Str. 154;;Lindenthal Süd II;Lindenburger Allee;Geibelstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9304513;6,916064
622;Dürener Str. 132;;Lindenthal Süd I;Geibelstr.;Hans-Sachs-Str.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9309737;6,9174195
623;Dürener Str. 76;;Lindenthal Süd I;Classen-Kappelmann-Str.;Universitätsstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,932363;6,9218077
624;Dürener Str. 56;;Lindenthal Süd I;Classen-Kappelmann-Str.;Universitätsstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,93293;6,92355
625;Lindenthalgürtel 99;;Lindenthal Süd II;Dürener Str.;Uhlandstr.;7;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;50,9271135;6,9091993
626;Lindenthalgürtel 81;;Lindenthal Süd II;Uhlandstr.;Bachemer Str.;8;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;50,9264229;6,909787
627;Lindenthalgürtel 96;;Lindenthal Süd II;Bachemer Str.;Uhlandstr.;6;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;50,9266219;6,910059
628;Dürener Str. 104;50931;Lindenthal Süd I;Hans-Sachs-Str.;Classen-Kappelmann-Str.;23;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9317375;6,9198049
629;Mariengartengasse 3;50667;City/Martinsviertel;An der Rechtschule;Burgmauer;8;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94078;6,95361
630;Kleine Spitzengasse 1;;Georgsviertel;Severinstr.;Tel-Aviv-Str.;7;GEO;Mo-Sa 09:00 - 18:00;1,00 €;4;;50,9298894;6,9562521
631;Appellhofplatz 2 WDR;50667;Nördlich Neumarkt;Röhrergasse;Burgmauer;20;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94062;6,95227
632;Magnusstr. ggü. 13;;Gereonsviertel;Albertusstr.;Römergasse;9;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9290828;6,9590512
633;Marspfortengasse 6;50667;City/Martinsviertel;Obenmarspforten;Salomonsgasse;5;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,93863;6,95711
634;Appellhofplatz 9;50667;Nördlich Neumarkt;Haus Nr. 5;Neven-DuMont-Str.;10;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94038;6,95093
635;Kitschburger Str. 242;50933;Hültzviertel;Aachener Str.;Christian-Gau-Str.;8;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9366185;6,900792
636;Bonner Straße 91;;Südliche Neustadt II;Kyllstraße;Alteburger Wall;4;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9366185;6,900792
637;Oskar-Jäger-Str. 1;;Lindenthal;Aachener Str.;Melatengürtel;12;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9366185;6,900792
638;Maarweg;;Lindenthal;Aachener Str.;Scheidtweilerstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9442827;6,8982895
639;Kitschburger Str. 242;;Hültzviertel;Schinkelstr.;Aachener Str.;18;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9442827;6,8982895
640;Marzellenstr. 49;;Gereonsviertel;Ursulaplatz;An den Dominikanern;8;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9442827;6,8982895
641;Dürener Str. 155;;Lindenthal Süd II;Karl-Schwering-Platz;Geibelstr.;8;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9442827;6,8982895
642;Christophstr. 39;;Gereonsviertel;Kaiser-Wilhelm-Ring;Von-Werth-Str.;10;;Mo-Sa 09:00 - 18:00;1,00 €;4;;50,9442727;6,9429945
643;Christophstr. 40;;Gereonsviertel;Probsteigasse;Von-Werth-Str.;10;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9442727;6,9429945
644;Gereonstr. ggü 54;;Gereonsviertel;Gereonskloster;Gereonsdriesch;7;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9437;6,9465
645;Hohenstaufenring 44;;Griechenmarktviertel;Zülpicher Platz;Schaevenstr.;18;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9322232;6,9404863
646;Humboldtstr. 30;;Griechenmarktviertel;Jahnstr.;Arndtstr.;9;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9322232;6,9404863
647;Von-Werth-Str.14a;;Gereonsviertel;Gereonshof;Christophstr.;8;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9440765;6,9435957
648;Hohenzollernring 66;;Gereonsviertel;Friesenplatz;Im Klapperhof;8;;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,9407351;6,9400679
649;Oststr. 7;;Rodenkirchen;Hauptstr.;Barbarastr.;8;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9354814;6,8419714
650;Steinstr. 1;;Pantaleonsviertel;Heinrichstr.;Schnurgasse;9;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,88854;7,05282
651;Martinsfeld 46;;Pantaleonsviertel;Am Trutzenberg;Waisenhausgasse;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9289478;6,9499908
652;Kämmergasse 16;;Griechenmarktviertel;Agrippastr.;Gr. Griechenmarkt;9;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9328774;6,9528211
653;Athener Ring 4;;Chorweiler;Salzburger Hof;Innsbrucker Hof;9;;Mo-Sa 09:00 - 18:00;0,50 €;4;;51,0207299;6,8949897
654;Niehler Str. 310;;Nippes;Friedrich-Karl-Str.;Nesselrodestr.;20;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9749;6,9599
655;Merheimer Str. 71;;Nippes;Hartwichstr.;Cranachstr.;14;NIPPES + II;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;12;JA;50,9600912;6,9489764
656;Wilhelmstr. 43;;Nippes;Neusser Str.;Christinastr.;13;NIPPES;Mo-Fr 08:00 - 21:00 + Sa 08:00 - 15:00;0,50 €;4;;50,96299;6,95409
657;Viersener Str. 2;;Nippes;Christinastr.;Neusser Str.;11;NIPPES;Mo-Fr 08:00 - 21:00 + Sa 08:00 - 15:00;0,50 €;4;;50,9636997;6,9534153
658;Cäcilienkloster 2;50676;Griechenmarktviertel;Cäcilienstr.;Jabachstr.;14;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,93463804;6,95219711
659;Kämmergasse 14;;Griechenmarktviertel;Gr. Griechenmarkt;Agrippastr.;9;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9346231;6,9521605
660;Gürzenichstr. 32;50667;City/Martinsviertel;Martinstr.;Heumarkt;19;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,93627;6,95957
661;Unter Goldschmied 9-17;50667;City/Martinsviertel;Kl. Budengasse;Laurenzplatz;6;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,93892;6,95839
662;Peterstr. 23;;Griechenmarktviertel;Leonhard-Tietz-Str.;Agrippastr.;11;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9346231;6,9521605
663;Schaafenstr. 25;;Griechenmarktviertel;Balduinstr.;Am Rinkenpfuhl;15;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9349527;6,9422414
664;Schaevenstr. 7;;Griechenmarktviertel;Hohenstaufenring;Mauritiuswall;13;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9349527;6,9422414
665;Keupstr. 29;;Mülheim;Heidkampstr.;Markgrafenstr.;22;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;4;;50,9654877;7,0096848
666;Paulstr. 9;50676;Pantaleonsviertel;Ulrichgasse;Schurgasse;12;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,8773474;7,0250038
667;Im Sionstal 18;;Severinsviertel;Mechtildisstr.;Severinsbrücke;27;SEV;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9654877;7,0096848
668;Clemensstr. 3;;Griechenmarktviertel;Bobstr.;Spinnmühlengasse;29;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9654877;7,0096848
669;Friedrichstr. 56;;Griechenmarktviertel;Mauritiuswall;Hohenstaufenring;31;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9654877;7,0096848
670;Peterstr. 21;;Griechenmarktviertel;Agrippastr.;Leonhard-Tietz-Str.;34;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9334987;6,949548
671;Poststr. 4;;Griechenmarktviertel;Alte Mauer am Bach;Gr. Griechenmarkt;29;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9334987;6,949548
672;Poststr. 43;50676;Griechenmarktviertel;Gr. Griechenmarkt;Agrippastr.;37;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,93225696;6,94987016
673;Volksgartenstr. 68;50677;Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;32;SÜD I;Mo-Sa 09:00 - 23:00;0,50 €;14;JA;50,92361963;6,94525704
674;Volksgartenstr. 58;50677;Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;24;SÜD I;Mo-Sa 09:00 - 23:00;0,50 €;14;JA;50,92315481;6,9463469
675;Volksgartenstr. 50;50677;Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;28;;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,92253629;6,94780448
676;Volksgartenstr. 46;50677;Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;24;;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9220817;6,9487107
677;Volksgartenstr. 38;50677;Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;37;;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,92150556;6,95021688
678;Bayenstr. 67;;Severinsviertel;Seyengasse;Rosenstr.;5;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9220817;6,9487107
679;Merheimer Straße;;Nippes I;Mauenheimer Straße;Simon-Meister-Straße;22;NIPPES I;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;10;JA;50,9220817;6,9487107
680;Ubierring 43;;Severinsviertel;Am Bayenturm;An der Bottmühle;18;SEV + SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9220817;6,9487107
681;Ubierring 25;;Severinsviertel;An der Bottmühle;Alteburger Str.;10;SEV + SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9217552;6,9626074
682;Ubierring 9;;Severinsviertel;Alteburger Str.;Chlodwigplatz;10;SEV + SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9214749;6,9608907
683;Venloer Wall 19;50672;Belgisches Viertel;Subbelrather Str.;Franz-Hitze-Str.;34;;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9468447;6,936166
684;Venloer Wall 17;;Belgisches Viertel;Subbelrather Str.;Franz-Hitze-Str.;33;;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,94597;6,93486
685;Venloer Wall 15;;Belgisches Viertel;Subbelrather Str.;Franz-Hitze-Str.;34;;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9452528;6,9345461
686;Blaubach (ggü. Finanzamt);50676;Griechenmarktviertel;Bachemstr.;Perlengraben;21;;Mo-Sa 09:00 - 23:00;0,50 €;14;JA;50,9325933;6,9551046
687;Leonhard-Tietz-Str. 3;;Griechenmarktviertel;Peterstr.;Jabachstr.;16;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9339223;6,9505007
688;Leonhard-Tietz-Str. 8a;;Griechenmarktviertel;Jabachstr.;Fleischmengergasse;8;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9340742;6,9512309
689;Schmalbeinstr. 5;50674;Belgisches Viertel;Vogelsanger Str.;Aachener Str.;35;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,93716451;6,93021453
690;Schmalbeinstr. 32;50674;Belgisches Viertel;Vogelsanger Str.;Aachener Str.;37;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,93984027;6,93043588
691;Schmalbeinstr. 26;50674;Belgisches Viertel;Vogelsanger Str.;Aachener Str.;35;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,93915872;6,93040539
692;Schmalbeinstr. 8;;Belgisches Viertel;Vogelsanger Str.;Aachener Str.;38;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9375758;6,9302093
693;Merheimer Straße;;Nippes I;Mauenheimer Straße;Simon-Meister-Straße;22;NIPPES I;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;10;JA;50,9674967;6,9472286
694;Steinweg 12;50667;City/Martinsviertel;Bolzengasse;Marsplatz;8;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,93754;6,95945
695;Severinswall 14;;Severinsviertel;Severinstr.;Altburger Str.;7;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9371222;6,9596002
696;Johannisstr. 66;;Kunibertsviertel;Jakordenstr.;Brandenburger Str.;42;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9371222;6,9596002
697;Johannisstr. 64;;Kunibertsviertel;Goldgasse;Servasgasse;9;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9445048;6,9609357
698;Johannisstr. 73;;Kunibertsviertel;Machabäerstr.;Jakordenstr.;18;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9457069;6,9611487
699;Venloer Str. 210;;Ehrenfeld;Franz-Geuer-Str.;Leostr.;8;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9464419;6,9250517
700;Venloer Str. 215;;Ehrenfeld;Leostr.;Piusstr.;8;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9460986;6,9254033
701;Venloer Str. 224;50823;Ehrenfeld;Leostr.;Gutenbergstr.;11;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,94688722;6,9238594
702;Venloer Str. 240;50823;Ehrenfeld;Gutenbergstr.;Simrockstr.;7;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,94723168;6,92301906
703;Venloer Str. 260;;Ehrenfeld;Simrockstr.;Körnerstr.;7;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,947394;6,9228477
704;Venloer Str. 273;50823;Ehrenfeld;Thebäerstr.;Geisselstr.;9;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,94761992;6,92179581
705;Venloer Str. 310;50823;Ehrenfeld;Philippstr.;Hansemannstr.;16;;Mo-Fr 09:00 - 20:00 + Sa 09:00 - 16:00;0,50 €;4;;50,94908228;6,91857384
706;Venloer Str. 349;50823;Ehrenfeld;Keplerstr.;Sömmeringstr.;8;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,94928269;6,91804045
707;Venloer Str. 336;50823;Ehrenfeld;Hansemannstr.;Ehrenfeldgürtel;6;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,94970868;6,91755891
708;Venloer Str. 363;50823;Ehrenfeld;Sömmeringstr.;Ehrenfeldgürtel;6;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,94965801;6,91740892
709;Venloer Str. 387;50825;Ehrenfeld;Ehrenfeldgürtel;Heliosstr.;4;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,95088886;6,91555426
710;Venloer Str. 403;;Ehrenfeld;Platenstr.;Schönsteinstr.;15;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9522779;6,913284
711;Venloer Str. 382;50825;Ehrenfeld;Schönsteinstr.;Platenstr.;13;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,95206661;6,91391342
712;Venloer Str. 425;50825;Ehrenfeld;Herbrandstr.;Platenstr.;7;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,95246545;6,9132979
713;Venloer Str. 406;50825;Ehrenfeld;Platenstr.;Lessingstr.;12;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9526147;6,91304206
714;Venloer Str. 461;;Ehrenfeld;Gumprechtstr.;Leyendeckerstr.;12;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9545616;6,9096115
715;Venloer Str. 508;50825;Ehrenfeld;Leyendeckerstr.;Alpener Str.;9;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9553596;6,9072893
716;Venloer Str. 519;50825;Ehrenfeld;Gumprechtstr.;Leyendeckerstr.;13;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,95541521;6,90677008
717;Venloer Str. 159;;Ehrenfeld;Fuchsstr.;Innere Kanalstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9453564;6,9279678
718;Venloer Str. 193a;;Ehrenfeld;Piusstr.;Innere Kanalstr.;5;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9453564;6,9279678
719;Turiner Str.;;Kunibertsviertel;Dagobertstraße;Thürmchenswall;4;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9453564;6,9279678
720;Venloer Str. 437;50825;Ehrenfeld;Leyendeckerstr.;Lessingstr.;12;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,95377427;6,91107787
721;Venloer Str. 429;50825;Ehrenfeld;Leyendeckerstr.;Lessingstr.;13;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,95282866;6,91251841
722;Venloer Str. 430;50825;Ehrenfeld;Lessingstr.;Leyendeckerstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,95334059;6,91195263
723;Venloer Str. 444;50825;Ehrenfeld;Lessingstr.;Leyendeckerstr.;11;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9538266;6,91118174
724;Im Ferkulum 29a;;Severinsviertel;Dreikönigenstr.;Corneliusstr.;6;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9537861;6,9110886
725;Ludolf-Camphausen-Str. 31;;Belgisches Viertel;Venloer Straße;Vogelsanger Str.;40;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9425236;6,9322856
726;Ludolf-Camphausen-Str. 20;50672;Belgisches Viertel;Venloer Straße;Vogelsanger Str.;45;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9418965;6,9319158
727;St.-Apern-Str. 48-50;50667;Nördlich Neumarkt;Helenenstr.;Magnusstr.;15;NEU;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94019;6,94588
728;Neven-du-Mont-Str. 14;50667;Nördlich Neumarkt;Kupfergasse;Appellhofplatz;6;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94022;6,95056
729;Longericher Hauptstr. 74;;Nippes;Dionysstr.;Grethenstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9402595;6,9507426
730;Grethenstr. 17;;Nippes;Eliasgasse;Militärring;17;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9402595;6,9507426
731;Bennauerstr. 1;;Porz;Hauptstr.;Friedrich-Ebert-Ufer;14;PORZ;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;4;;50,9402595;6,9507426
732;Berliner Str. 15/17;;Mülheim;Von-Sparr-Str.;Clevischer Ring;12;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9717778;7,0104277
733;Berliner Str. 43;;Mülheim;Von-Sparr-Str.;Clevischer Ring;12;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9402595;6,9507426
734;Ostlandstr. ggü. 14;50858;Weiden-Süd;Breslauer Str.;Königsberger Str.;11;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;50,93548088;6,84217572
735;Brücker Mauspfad 623;;Kalk;Petersenstr.;Olpener Str.;4;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9402595;6,9507426
736;Ostlandstr. ggü. 23;50858;Weiden-Süd;Königsberger Str.;Stettiner Str.;9;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;50,93561526;6,8407823
737;Ostheimer Str. 21;;Kalk;Waldstr.;Würzburger Str.;6;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,933619;7,0189502
738;Ostheimer Str. 30;;Kalk;Würzburger Str.;Kuthstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9333121;7,0196018
739;Universitätsstr. 81;;Lindenthal;Gottfried-Keller-Str.;Danteweg;26;;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9333121;7,0196018
740;Oskar-Jäger-Str. 109-111;;Ehrenfeld;Stolberger Str.;Kohlenstr.;11;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9333121;7,0196018
741;Friedenstr. 22;;Pantaleonsviertel;Martinsfeld;Wilh.-Hoßdorf-Str.;23;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9289411;6,9528797
742;Kurfürstenstr. 4;;Südliche Neustadt II;Bonner Str.;Alteburger Str.;22;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9289411;6,9528797
743;Heidestr. 238;51147;Porz;Magazinstr.;Linder Mauspfad;14;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,85898;7,10603
744;Heidestr. 243;;Porz;Linder Mauspfad;Magazinstr.;9;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9289411;6,9528797
745;Merheimer Straße;;Nippes I;Mauenheimer Straße;Simon-Meister-Straße;21;NIPPES I;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;10;JA;50,9289411;6,9528797
746;Bobstr. 16;;Griechenmarktviertel;Thieboldsgasse;Clemensstr.;15;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9336886;6,9465491
747;Fleischmengergasse 8;;Griechenmarktviertel;Bayardsgasse;Kl. Griechenmarkt;34;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,933179;6,9489815
748;Fleischmengergasse 41;;Griechenmarktviertel;Lungengasse;Bayardsgasse;16;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9344463;6,9486622
749;Im Laach 18;;Griechenmarktviertel;Neumarkt;Lungengasse;14;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,935332;6,9458267
